요양기관명,종별코드명,시도코드명,시군구코드명,주소,개설일자
신통방통마취통증의학과의원,의원,서울,송파구,"서울특별시 송파구 백제고분로 466, (방이동, 세나빌딩)",2016-11-03
신통방통의원,의원,서울,구로구,"서울특별시 구로구 고척로 144, 두발로빌딩 6층 (고척동)",2013-04-16
신통방통의원,의원,서울,강동구,"서울특별시 강동구 올림픽로 781, 5층 (암사동)",2015-05-26
신통방통재활의학과의원,의원,서울,구로구,"서울특별시 구로구 구로동로26길 8, 기산빅프라자 5층 (구로동)",2022-06-03
신통신경외과의원,의원,서울,강북구,"서울특별시 강북구 도봉로 260, 운산빌딩 2,4층 (미아동)",2011-04-25
신통한마취통증의학과의원,의원,서울,구로구,"서울특별시 구로구 중앙로 60, 강산메디칼프라자 402호 (고척동)",2009-11-02
신통한성모마취통증의학과의원,의원,서울,강북구,"서울특별시 강북구 도봉로 358, 코스타타워 3층 (번동)",2019-08-26
신통한의원,한의원,서울,강동구,"서울특별시 강동구 양재대로 1576, (명일동, 삼익빌딩)",2007-10-12
신트리치과의원,치과의원,서울,양천구,"서울특별시 양천구 신정로 312, (신정동, 뉴프라자)",1999-08-30
신풍내과의원,의원,서울,영등포구,"서울특별시 영등포구 신풍로 28, 지하1층 B110~112호 (신길동, 비스타동원)",1999-04-23
신풍마디튼튼의원,의원,서울,영등포구,"서울특별시 영등포구 신풍로 93, 메트하임 2,3층 205~207,307호 (신길동)",2019-02-13
신풍미소치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 신풍로 44, 2층 (신길동)",2016-06-16
신풍바른재활의학과의원,의원,서울,영등포구,"서울특별시 영등포구 신풍로 23, 3층 (신길동)",2024-01-03
신풍산부인과의원,의원,서울,영등포구,"서울특별시 영등포구 신풍로 33, 2층 (신길동)",2002-06-10
신풍한의원,한의원,서울,영등포구,"서울특별시 영등포구 신풍로 22, 2층 (신길동)",2000-11-22
신플란트치과의원,치과의원,경기,용인처인구,"경기도 용인시 처인구 남사읍 한숲로 45, 한숲스퀘어옐로우 312호",2018-09-27
신필진소아청소년과의원,의원,서울,중랑구,"서울특별시 중랑구 신내로 211, 215호 (신내동, 금강리빙스텔)",2001-09-11
신학철피부과의원,의원,서울,강남구,"서울특별시 강남구 삼성로 418, 1~3층 (대치동)",1999-04-19
신한방사선과의원,의원,서울,관악구,"서울특별시 관악구 신림로 324, (신림동)",1989-05-03
신한은행부속의원,의원,서울,중구,"서울특별시 중구 세종대로9길 20, 대경빌딩 신한은행 본점 15층 (태평로2가)",1990-02-20
